Gene stable ID	Gene % GC content	Gene name
ENSMUSG00000072214	60.19	Septin5
ENSMUSG00000107824	56.29	Gm6443
ENSMUSG00000084979	45.37	Gm16267
ENSMUSG00000113679	50.83	Gm10432
ENSMUSG00000096699	54.34	Rps19-ps4
ENSMUSG00000068234	41.29	Vmn1r44
ENSMUSG00000113255	36.80	Tes3-ps
ENSMUSG00000117662	43.38	Gm4013
ENSMUSG00000090114	47.01	Gm3076
ENSMUSG00000104622	42.15	Gm42541
ENSMUSG00000032621	39.26	Srek1
ENSMUSG00000106500	42.48	Gm42540
ENSMUSG00000024491	38.60	Rbm27
ENSMUSG00000099827	46.76	Gm29520
ENSMUSG00000038712	49.43	Mindy1
ENSMUSG00000021068	44.87	Nin
ENSMUSG00000057335	36.42	Cep170
ENSMUSG00000086912	47.53	4930505O20Rik
ENSMUSG00000082693	48.55	Gm15190
ENSMUSG00000065231	40.46	Gm22972
ENSMUSG00000084714	40.74	Gm24631
ENSMUSG00000098894	36.54	Gm27234
ENSMUSG00000083906	39.79	Gm15186
ENSMUSG00000042353	43.75	Frem3
ENSMUSG00000110851	42.58	Gm48902
ENSMUSG00000079432	38.45	Gm15023
ENSMUSG00000111796	43.15	Gm47575
ENSMUSG00000103434	43.99	Gm36993
ENSMUSG00000099717	51.16	Gm9451
ENSMUSG00000092228	40.34	Vmn1r-ps28
ENSMUSG00000100795	47.43	Gm29208
ENSMUSG00000071477	47.05	Zfp777
ENSMUSG00000031901	45.94	Dus2
ENSMUSG00000032358	39.30	Fam83b
ENSMUSG00000081320	46.13	Gm15034
ENSMUSG00000082347	47.25	Gm15036
ENSMUSG00000087369	38.65	Gm14696
ENSMUSG00000086948	40.30	Gm14697
ENSMUSG00000031409	55.42	Tceal6
ENSMUSG00000116825	57.50	Rps2-ps7
ENSMUSG00000086296	53.07	D030055H07Rik
ENSMUSG00000041378	60.45	Cldn5
ENSMUSG00000108101	38.24	Gm45738
ENSMUSG00002075679	90.32	
ENSMUSG00000022723	42.94	Crybg3
ENSMUSG00000008590	43.95	Htr3b
ENSMUSG00000081709	46.92	Gm15022
ENSMUSG00000063884	40.49	Ptcd3
ENSMUSG00000082071	38.91	Pramex2
ENSMUSG00000062638	48.74	Btnl1
ENSMUSG00000067360	38.45	Pramel3
ENSMUSG00000098335	42.84	Gm27156
ENSMUSG00000098924	43.88	Gm27245
ENSMUSG00000077144	50.00	Gm22938
ENSMUSG00000111222	38.00	Gm34158
ENSMUSG00000099239	36.97	Gm27155
ENSMUSG00000082103	46.34	Gm15320
ENSMUSG00000062257	40.99	Opcml
ENSMUSG00000083522	54.51	Gm15321
ENSMUSG00000021578	42.77	Ccdc127
ENSMUSG00000033597	55.73	Caskin1
ENSMUSG00000119221	40.35	Gm25936
ENSMUSG00000087428	40.67	Gm15017
ENSMUSG00000115768	44.25	Dpep2nb
ENSMUSG00000095599	39.13	Gm6215
ENSMUSG00000045538	55.57	Ddx28
ENSMUSG00000094004	37.98	Gm5128
ENSMUSG00000031715	37.47	Smarca5
ENSMUSG00002075166	45.39	7SK
ENSMUSG00000110839	38.05	Gm47800
ENSMUSG00000098888	42.95	Gm18486
ENSMUSG00000112207	43.14	Gm48448
ENSMUSG00000087531	46.85	Gm15606
ENSMUSG00000112579	41.61	Gm48450
ENSMUSG00002075756	45.36	
ENSMUSG00000112562	41.78	Gm48451
ENSMUSG00000110741	40.43	Gm48091
ENSMUSG00000112325	42.21	Gm48454
ENSMUSG00000112684	48.47	Gm47958
ENSMUSG00000040732	45.95	Erg
ENSMUSG00000020258	55.09	Glyctk
ENSMUSG00000112268	43.81	Gm48460
ENSMUSG00000118957	42.98	Gm22006
ENSMUSG00000095964	39.68	Gm6221
ENSMUSG00000112735	45.73	Gm46191
ENSMUSG00000096225	45.66	Lhx8
ENSMUSG00000112010	55.32	Gm48461
ENSMUSG00000021579	48.10	Lrrc14b
ENSMUSG00000112638	41.01	Gm48463
ENSMUSG00000036198	43.59	Arhgap36
ENSMUSG00000069184	39.45	Zfp72
ENSMUSG00000020074	40.03	Ccar1
ENSMUSG00002075016	76.19	
ENSMUSG00000024497	53.30	Pou4f3
ENSMUSG00000043631	38.35	Ecm2
ENSMUSG00000056849	49.49	Gm16415
ENSMUSG00000040565	38.89	Btaf1
ENSMUSG00000118058	44.88	Gm3631
ENSMUSG00000024498	39.06	Tcerg1
ENSMUSG00000032357	37.38	Tinag
ENSMUSG00000113315	54.12	Gm8227
ENSMUSG00000021348	36.24	Prl7d1
ENSMUSG00000093738	46.68	AI606473
ENSMUSG00000015702	47.91	Anxa9
ENSMUSG00000044248	39.17	Vmn1r45
ENSMUSG00000065407	46.67	Mir135a-1
ENSMUSG00000098333	43.28	Gm27158
ENSMUSG00000098370	38.33	Gm19541
ENSMUSG00000099138	42.09	Gm5746
ENSMUSG00000062382	43.03	Ftl1-ps1
ENSMUSG00000096508	38.24	Gm7903
ENSMUSG00000059974	42.68	Ntm
ENSMUSG00000113311	40.00	Gm47428
ENSMUSG00000110142	34.53	Gm45872
ENSMUSG00000076033	64.22	Mir692-3
ENSMUSG00000080465	52.55	Snord94
ENSMUSG00000060738	33.45	Prl7c1
ENSMUSG00000031714	44.85	Gab1
ENSMUSG00000061653	40.13	Vmn1r46
ENSMUSG00000057246	44.64	BC051142
ENSMUSG00000099230	63.08	Mir6989
ENSMUSG00000079467	45.62	Gm14966
ENSMUSG00000119763	42.98	Gm24416
ENSMUSG00000112964	41.50	E430024I08Rik
ENSMUSG00000083455	46.72	Gm15037
ENSMUSG00000092303	40.31	Vmn1r-ps29
ENSMUSG00000082192	62.06	Gm14719
ENSMUSG00000094371	39.63	Gm7905
ENSMUSG00000024908	42.77	Ppp6r3
ENSMUSG00000057691	45.59	Zfp746
ENSMUSG00000071764	36.65	Olfr1320
ENSMUSG00000113212	56.13	Gm47435
ENSMUSG00000116765	43.76	Gm49762
ENSMUSG00000022886	36.39	Prl2a1
ENSMUSG00000103634	28.75	3110062G12Rik
ENSMUSG00000067971	38.81	Olfr1321
ENSMUSG00000104154	28.65	Gm38104
ENSMUSG00000103435	38.99	Gm36992
ENSMUSG00000085449	40.77	Gm15520
ENSMUSG00000065573	44.44	Mir350
ENSMUSG00002076271	49.43	7SK
ENSMUSG00000054994	38.39	AV320801
ENSMUSG00000085638	43.27	Gm15521
ENSMUSG00000100551	47.30	Gm19503
ENSMUSG00000093424	46.86	6330562C20Rik
ENSMUSG00000111175	52.16	Gm19640
ENSMUSG00000100357	43.67	Gm28181
ENSMUSG00000109584	49.90	Gm7997
ENSMUSG00000109587	65.69	Gm31105
ENSMUSG00000111304	44.16	Gm47677
ENSMUSG00000021388	36.93	Aspn
ENSMUSG00000119318	44.86	Gm26435
ENSMUSG00000111109	40.16	Gm30933
ENSMUSG00000098001	46.61	Gm27048
ENSMUSG00000047583	47.02	Tyw3
ENSMUSG00000025912	35.06	Mybl1
ENSMUSG00000098223	51.75	Gm4891
ENSMUSG00000119569	40.35	Gm22233
ENSMUSG00000020257	43.67	Wdr82
ENSMUSG00000060724	38.29	Vmn1r47
ENSMUSG00000086685	39.66	Gm15015
ENSMUSG00000031902	40.27	Nfatc3
ENSMUSG00000096119	39.38	Gm6228
ENSMUSG00000057592	44.33	Vmn1r48
ENSMUSG00000092450	37.39	Vmn1r-ps31
ENSMUSG00000092588	44.77	Gm20534
ENSMUSG00000039521	49.41	Foxp3
ENSMUSG00000097434	43.40	Gm16630
ENSMUSG00000092888	49.00	Gm22122
ENSMUSG00000107875	40.00	Gm16630
ENSMUSG00000069208	40.62	Zfp825
ENSMUSG00000108275	47.99	Gm7880
ENSMUSG00000116646	39.00	Gm49763
ENSMUSG00000113019	40.42	Gm47467
ENSMUSG00000113660	53.40	Gm5626
ENSMUSG00000062551	34.31	Prl2c1
ENSMUSG00000030279	42.82	C2cd5
ENSMUSG00000065440	52.27	Mirlet7g
ENSMUSG00000031993	44.46	Snx19
ENSMUSG00000048368	37.39	Omd
ENSMUSG00000027977	41.25	Ndst3
ENSMUSG00002075635	37.00	U6
ENSMUSG00000113672	46.51	Gm34165
ENSMUSG00000113047	40.64	Gm47469
ENSMUSG00000113279	42.20	Gm47470
ENSMUSG00000113281	52.29	Gm11360
ENSMUSG00000113916	47.57	Gm18881
ENSMUSG00000005891	35.10	Prl4a1
ENSMUSG00000058600	44.13	Rpl30
ENSMUSG00000112834	43.94	Gm48464
ENSMUSG00000074695	43.09	Il22
ENSMUSG00000021390	36.22	Ogn
ENSMUSG00000111260	46.89	Gm47714
ENSMUSG00000111438	49.43	Rps2-ps12
ENSMUSG00000111413	45.09	Gm47716
ENSMUSG00000000028	46.23	Cdc45
ENSMUSG00000111867	43.75	Gm31013
ENSMUSG00000111249	43.13	Gm47717
ENSMUSG00000114182	39.56	Gm47019
ENSMUSG00000065899	43.94	Gm24523
ENSMUSG00000033453	49.06	Adamts15
ENSMUSG00000115685	50.46	D730044K07Rik
ENSMUSG00000113204	41.61	Gm46430
ENSMUSG00000111998	44.10	Gm48465
ENSMUSG00000112002	53.42	Gm9585
ENSMUSG00000075602	48.87	Ly6a
ENSMUSG00000112078	41.74	Gm48466
ENSMUSG00000112565	42.24	Gm48473
ENSMUSG00000058435	48.65	Btnl4
ENSMUSG00000112216	46.62	Gm32717
ENSMUSG00000112135	46.51	Gm9029
ENSMUSG00000112173	45.90	Gm48145
ENSMUSG00000112699	41.67	Gm48474
ENSMUSG00000017064	37.55	Prl5a1
ENSMUSG00000080469	36.92	Snord98
ENSMUSG00002076384	49.23	Metazoa_SRP
ENSMUSG00000112614	46.47	Gm9030
ENSMUSG00000038250	41.43	Usp38
ENSMUSG00000020253	55.54	Ppm1m
ENSMUSG00000112359	43.58	Gm48475
ENSMUSG00000112806	40.67	Gm48146
ENSMUSG00000083369	55.74	Gm15332
ENSMUSG00000112282	50.44	Gm19989
ENSMUSG00000073420	48.33	Btnl5-ps
ENSMUSG00000112252	46.62	Gm32802
ENSMUSG00000113061	51.73	Rps18-ps5
ENSMUSG00000112098	45.00	Gm18876
ENSMUSG00000113418	40.62	Gm47172
ENSMUSG00000112561	53.21	Gm9035
ENSMUSG00000044726	42.72	Erich5
ENSMUSG00000113216	40.83	Gm40841
ENSMUSG00000019792	40.38	Trmt11
ENSMUSG00000083020	54.29	Gm15331
ENSMUSG00000085936	42.42	2610307P16Rik
ENSMUSG00000115300	42.16	Gm49188
ENSMUSG00000092618	47.43	Btnl6
ENSMUSG00000100287	42.11	Gm28068
ENSMUSG00000101082	49.53	Gm28069
ENSMUSG00000116113	51.26	Gm49545
ENSMUSG00000115952	49.19	Gm18814
ENSMUSG00000045210	37.45	Vcpip1
ENSMUSG00000116424	37.69	Gm7167
ENSMUSG00000022323	40.78	Rida
ENSMUSG00000083441	54.84	Gm15329
ENSMUSG00000037982	41.88	Gm9725
ENSMUSG00000061728	45.52	Btnl7-ps
ENSMUSG00000109980	41.18	Gm45538
ENSMUSG00000086785	46.22	Gm6081
ENSMUSG00000094615	44.92	Gm4899
ENSMUSG00000099158	55.91	Mir6368
ENSMUSG00000109928	51.64	Gm45539
ENSMUSG00000092093	42.92	Gm17528
ENSMUSG00000015468	54.02	Notch4
ENSMUSG00000097949	46.97	Gm5354
ENSMUSG00000082861	51.65	Gm11362
ENSMUSG00000113352	43.46	Gm34639
ENSMUSG00000084128	55.54	Esrp2
ENSMUSG00000055782	38.60	Abcd2
ENSMUSG00000032267	44.67	Usp28
ENSMUSG00000076431	51.14	Sox4
ENSMUSG00000041763	36.82	Tpp2
ENSMUSG00000086363	43.24	A330102I10Rik
ENSMUSG00000082730	43.61	Gm11363
ENSMUSG00000021583	39.35	Erap1
ENSMUSG00000078932	40.46	CN725425
ENSMUSG00000022722	38.82	Arl6
ENSMUSG00002076197	57.05	
ENSMUSG00000042816	48.81	Gpr151
ENSMUSG00000117719	43.30	Gm50214
ENSMUSG00000117882	48.86	Gm50213
ENSMUSG00000117926	44.63	C030004G16Rik
ENSMUSG00000024500	41.99	Ppp2r2b
ENSMUSG00000079018	48.20	Ly6c1
ENSMUSG00000090308	47.79	Gm5174
ENSMUSG00000114315	41.40	Gm48696
ENSMUSG00000112666	45.26	Gm48485
ENSMUSG00000104860	40.17	Gm42510
ENSMUSG00000075908	39.05	Gm23940
ENSMUSG00000114302	40.33	Gm48683
ENSMUSG00000119894	45.79	Gm24456
ENSMUSG00000111080	37.09	Gm20300
ENSMUSG00000080842	50.42	Gm15400
ENSMUSG00000086390	58.61	1810019D21Rik
ENSMUSG00000081939	40.87	Gm15399
ENSMUSG00000024913	50.54	Lrp5
ENSMUSG00000090461	42.87	Il22b
ENSMUSG00000104531	37.53	Gm43731
ENSMUSG00000090474	48.84	Gm9372
ENSMUSG00000106238	47.37	Gm42824
ENSMUSG00000031903	48.78	Pla2g15
ENSMUSG00000112814	46.78	Gm9040
ENSMUSG00000044528	43.61	Tram1l1
ENSMUSG00000112419	46.78	Gm9044
ENSMUSG00000096544	53.47	Gm4617
ENSMUSG00000112027	46.74	Gm9045
ENSMUSG00000106150	34.19	4921527H02Rik
ENSMUSG00000112781	46.78	Gm9046
ENSMUSG00000097412	43.39	1810014B01Rik
ENSMUSG00000015714	50.98	Cers2
ENSMUSG00000099775	49.14	Gm5960
ENSMUSG00000036298	41.86	Slc2a13
ENSMUSG00000031904	44.51	Slc7a6
ENSMUSG00000116894	37.55	4930547E14Rik
ENSMUSG00000112495	46.74	Gm9048
ENSMUSG00000112919	46.74	Gm9049
ENSMUSG00000092406	35.29	Gm20462
ENSMUSG00000022895	48.19	Ets2
ENSMUSG00000055170	41.39	Ifng
ENSMUSG00000034786	58.13	Gpsm3
ENSMUSG00000021392	38.27	Nol8
ENSMUSG00000099452	43.92	Gm28502
ENSMUSG00000022325	42.55	Pop1
ENSMUSG00000019791	39.68	Hint3
ENSMUSG00000105298	55.12	Cldn25
ENSMUSG00000034673	57.08	Pbx2
ENSMUSG00000031994	49.55	Adamts8
ENSMUSG00000084959	40.67	4933407I08Rik
ENSMUSG00000117792	40.99	4930588A03Rik
ENSMUSG00000119082	42.99	Gm22264
ENSMUSG00000048188	49.55	Gm8181
ENSMUSG00000039954	40.50	Stk32a
ENSMUSG00000105991	41.15	1700042D02Rik
ENSMUSG00000111673	44.33	Gm29724
ENSMUSG00000032264	43.52	Zw10
ENSMUSG00000031143	49.01	Ccdc22
ENSMUSG00000117167	51.23	Gm6599
ENSMUSG00000055540	37.36	Epha6
ENSMUSG00000118249	46.22	Gm36608
ENSMUSG00000033106	43.26	Slc7a6os
ENSMUSG00000027973	37.93	1700006A11Rik
ENSMUSG00000035372	49.93	1810055G02Rik
ENSMUSG00000111913	41.55	Gm49751
ENSMUSG00000112230	43.40	Ifngas1
ENSMUSG00000112029	47.35	Gm33337
ENSMUSG00000022584	48.81	Ly6c2
ENSMUSG00000060098	46.36	Prmt7
ENSMUSG00000047146	44.17	Tet1
ENSMUSG00000047412	40.15	Zbtb44
ENSMUSG00000117232	46.42	1600002D24Rik
ENSMUSG00000115005	45.32	Gm49195
ENSMUSG00000084607	40.00	Gm22208
ENSMUSG00000102051	49.81	Ly6a2
ENSMUSG00000117739	52.65	Gm36787
ENSMUSG00000118231	46.30	Gm2141
ENSMUSG00000064915	38.18	Gm22575
ENSMUSG00000118096	52.63	Gm50374
ENSMUSG00000106413	40.72	Gm42823
ENSMUSG00000117773	44.44	Gm50375
ENSMUSG00000119192	50.77	Gm22900
ENSMUSG00000114099	47.00	Gm48695
ENSMUSG00000022582	48.75	Ly6g
ENSMUSG00000039174	39.16	1700003H04Rik
ENSMUSG00000005262	45.10	Ufd1
ENSMUSG00000033530	46.68	Ttc7b
ENSMUSG00000013236	55.76	Ptprs
ENSMUSG00000031410	45.14	Nxf7
ENSMUSG00000101140	47.90	Gm28117
ENSMUSG00000024949	47.88	Sf1
ENSMUSG00000024501	41.81	Dpysl3
ENSMUSG00000038879	40.67	Nipal2
ENSMUSG00000097701	49.65	Gm17508
ENSMUSG00000032355	38.80	Mlip
ENSMUSG00000106009	46.59	Gm9379
ENSMUSG00000106423	36.67	Gm42825
ENSMUSG00002076850	40.60	7SK
ENSMUSG00000098033	49.60	Gm9381
ENSMUSG00000115526	49.10	4930413F20Rik
ENSMUSG00000031906	47.60	Smpd3
ENSMUSG00000112535	48.09	Gm47425
ENSMUSG00000106001	43.35	Gm42826
ENSMUSG00000115360	44.00	Gm48932
ENSMUSG00000112198	51.59	Gm4065
ENSMUSG00000050963	49.55	Kcns2
ENSMUSG00000112309	42.81	Gm48353
ENSMUSG00000112616	38.59	Gm47434
ENSMUSG00000084569	39.62	Gm26479
ENSMUSG00000027993	45.12	Trim2
ENSMUSG00002075200	48.76	7SK
ENSMUSG00000047728	47.85	Ly6g2
ENSMUSG00000028630	48.91	Dyrk2
ENSMUSG00000104172	47.70	Gm37259
ENSMUSG00002075313	61.82	
ENSMUSG00000087636	51.86	Gm4660
ENSMUSG00000085329	45.70	2810404F17Rik
ENSMUSG00000089685	41.65	Gm9017
ENSMUSG00000113917	42.78	Gm48382
ENSMUSG00000074113	47.39	Gm10629
ENSMUSG00000113864	47.53	Gm48381
ENSMUSG00000068348	47.89	Gm10238
ENSMUSG00000085903	45.23	Gm15340
ENSMUSG00000104443	47.55	4932442E05Rik
ENSMUSG00000090121	43.82	Abhd12b
ENSMUSG00000097963	43.48	Gm27001
ENSMUSG00000112402	42.94	Gm10744
ENSMUSG00000100462	47.83	Gm28115
ENSMUSG00000116853	50.32	Gm49609
ENSMUSG00000098162	49.23	Gm26976
ENSMUSG00002075526	46.02	
ENSMUSG00000112854	43.97	Gm38403
ENSMUSG00000090882	46.86	Gm17065
ENSMUSG00000022583	47.68	Ly6f
ENSMUSG00000037940	38.64	Inpp4b
ENSMUSG00000071632	49.43	2510002D24Rik
ENSMUSG00000112540	45.44	Gm47461
ENSMUSG00000112778	45.91	Gm33677
ENSMUSG00000006191	41.89	Cdkal1
ENSMUSG00000099467	46.76	Gm28116
ENSMUSG00000112683	45.76	Gm18904
ENSMUSG00000100681	45.72	1700064J06Rik
ENSMUSG00000101289	47.94	Gm3454
ENSMUSG00000089001	25.97	Gm23852
ENSMUSG00000091459	36.29	Gm17054
ENSMUSG00000112609	43.72	Gm47480
ENSMUSG00000099414	42.79	Gm28113
ENSMUSG00000116956	31.49	Gm49610
ENSMUSG00000101075	46.60	Gm29517
ENSMUSG00000112161	44.83	Gm34045
ENSMUSG00002076181	42.37	5S_rRNA
ENSMUSG00000092029	47.50	Gm9027
ENSMUSG00000100375	45.91	Gm28114
ENSMUSG00000090448	41.29	Gm17192
ENSMUSG00000116619	35.49	Gm49615
ENSMUSG00000102028	46.25	Gm3142
ENSMUSG00000071253	43.46	Slc25a16
ENSMUSG00000118558	36.62	Gm52985
ENSMUSG00000099908	43.09	Gm28539
ENSMUSG00000053168	47.99	9030619P08Rik
ENSMUSG00000113895	45.01	Gm48383
ENSMUSG00000020564	46.79	Atxn7l1
ENSMUSG00000093626	51.03	Ly6l
ENSMUSG00000116365	49.71	Gm34531
ENSMUSG00000116222	50.33	Gm34593
ENSMUSG00000116155	49.98	Gm34646
ENSMUSG00000022913	45.10	Psmg1
ENSMUSG00000022329	39.58	Stk3
ENSMUSG00000097891	44.48	Gm3650
ENSMUSG00000043424	40.14	Eif3j2
ENSMUSG00002076479	81.08	
ENSMUSG00000095932	40.25	Vmn1r49
ENSMUSG00000118018	37.53	
ENSMUSG00000024502	40.28	Jakmip2
ENSMUSG00000070173	37.50	Gm24164
ENSMUSG00000116962	37.03	Gm19000
ENSMUSG00000085783	53.32	Gm9816
ENSMUSG00000022706	46.56	Mrpl40
ENSMUSG00000094553	40.46	Vmn1r50
ENSMUSG00000031411	37.91	Pramex1
ENSMUSG00000098668	46.02	Gm27210
ENSMUSG00000102783	41.82	Gm38254
ENSMUSG00000103794	50.64	4930590H14Rik
ENSMUSG00000088875	44.96	Gm25862
ENSMUSG00000080971	48.88	Gm16128
ENSMUSG00000099170	43.98	5730403I07Rik
ENSMUSG00000108094	44.63	Gm31108
ENSMUSG00000107693	50.32	Gm44312
ENSMUSG00000020048	42.75	Hsp90b1
ENSMUSG00000082602	40.84	Gm15021
ENSMUSG00000031995	49.18	St14
ENSMUSG00000107398	55.17	Gm44306
ENSMUSG00000050312	40.99	Nsun3
ENSMUSG00000031111	45.31	Igsf1
ENSMUSG00000062818	38.80	Vmn1r51
ENSMUSG00000024503	39.81	Spink1
ENSMUSG00002075964	45.05	7SK
ENSMUSG00000038791	38.51	Scgb3a2
ENSMUSG00000092247	40.11	Gm20426
ENSMUSG00000115345	41.96	Gm33497
ENSMUSG00000061843	39.16	Vmn1r-ps32
ENSMUSG00000022330	50.68	Osr2
ENSMUSG00000022911	39.69	Arl13b
ENSMUSG00000030275	43.77	Etnk1
ENSMUSG00000071858	37.40	Gm94
ENSMUSG00000079143	47.47	Atxn7l1os1
ENSMUSG00000023277	52.18	Twf2
ENSMUSG00000085664	46.93	Atxn7l1os2
ENSMUSG00000115453	41.79	BC048602
ENSMUSG00000076424	42.65	Gm25986
ENSMUSG00000117902	38.24	Gm41715
ENSMUSG00000097893	42.71	1700034P13Rik
ENSMUSG00000047854	38.00	Stx19
ENSMUSG00000020562	43.44	Efcab10
ENSMUSG00000118043	41.30	Gm50206
ENSMUSG00000118006	37.48	Gm50207
ENSMUSG00000115829	42.73	4921515G04Rik
ENSMUSG00000022912	39.37	Pros1
ENSMUSG00000055561	36.96	Spink5
ENSMUSG00000022577	50.63	Ly6h
ENSMUSG00000018581	41.48	Dnah11
ENSMUSG00000107802	43.59	1700126G02Rik
ENSMUSG00000060816	38.58	Vmn1r52
ENSMUSG00000026504	42.66	Sdccag8
ENSMUSG00000062546	39.99	V1ra8
ENSMUSG00000116574	38.84	Gm18870
ENSMUSG00000057697	41.53	Vmn1r53
ENSMUSG00000116612	52.22	Gm49621
ENSMUSG00000086423	42.54	Gm11364
ENSMUSG00000116871	36.73	Gm33912
ENSMUSG00000092552	45.47	Gm4287
ENSMUSG00000116752	37.23	Gm49622
ENSMUSG00000072679	43.22	D6Ertd474e
ENSMUSG00000016477	45.73	E2f3
ENSMUSG00000022702	42.99	Hira
ENSMUSG00000099754	43.48	Vmn1r-ps34
ENSMUSG00000090732	37.73	4930579O11Rik
ENSMUSG00000090584	50.71	Gm17169
ENSMUSG00000049553	46.53	Polr1a
ENSMUSG00000091998	42.86	Gm17072
ENSMUSG00000032648	52.41	Pygm
ENSMUSG00000022579	55.47	Gpihbp1
ENSMUSG00000089147	36.51	Gm25267
ENSMUSG00000109664	37.55	Gm9520
ENSMUSG00000110045	40.37	Gm38590
ENSMUSG00000031907	45.81	Zfp90
ENSMUSG00000081343	53.59	Gm16071
ENSMUSG00000047003	48.68	Zfp41
ENSMUSG00000086893	49.47	Gm11365
ENSMUSG00000045322	56.16	Tlr9
ENSMUSG00000085188	42.28	Gm11368
ENSMUSG00000113366	41.83	Gm47259
ENSMUSG00000084899	40.63	Gm15344
ENSMUSG00000083676	52.50	Gm11367
ENSMUSG00002076916	64.66	
ENSMUSG00000038732	43.80	Mboat1
ENSMUSG00000020114	42.18	Cand1
ENSMUSG00000032786	49.31	Alas1
ENSMUSG00000054069	47.51	6030452D12Rik
ENSMUSG00000115969	45.38	Gm46519
ENSMUSG00000051050	39.48	Spink14
ENSMUSG00000099034	48.28	2810039B14Rik
ENSMUSG00000061048	47.57	Cdh3
ENSMUSG00000118199	47.94	Gm8390
ENSMUSG00000037646	39.18	Vps13b
ENSMUSG00000055095	35.43	Spink6
ENSMUSG00000104043	42.18	Gm6525
ENSMUSG00000084669	39.13	Gm23206
ENSMUSG00000082648	52.45	Gm11366
ENSMUSG00000104004	45.45	4930565D16Rik
ENSMUSG00000037851	45.76	Iars
ENSMUSG00000053799	42.09	Exoc6
ENSMUSG00000027971	37.05	Ndst4
ENSMUSG00002075946	42.05	5S_rRNA
ENSMUSG00000058252	44.66	Tcp11x2
ENSMUSG00000061144	37.03	Spink12
ENSMUSG00000056281	37.70	Olfr1322
ENSMUSG00000103367	58.11	Gm38158
ENSMUSG00000112094	41.75	Gm47506
ENSMUSG00000103584	47.50	Gm38053
ENSMUSG00000083399	55.13	Gm15033
ENSMUSG00002076339	47.50	
ENSMUSG00000077241	51.94	Gm23272
ENSMUSG00000110628	34.55	Gm37797
ENSMUSG00000084971	47.09	4930579D09Rik
ENSMUSG00000102475	45.75	Gm37246
ENSMUSG00000021069	46.05	Pygl
ENSMUSG00000060726	45.82	Tmsb15a
ENSMUSG00000069385	33.57	Gm10267
ENSMUSG00000082130	51.21	Gm15799
ENSMUSG00000047203	40.35	Vmn1r54
ENSMUSG00000047343	41.14	Mettl21c
ENSMUSG00000060019	57.89	Gm10073
ENSMUSG00000083658	50.98	Gm15798
ENSMUSG00000105028	36.73	Gm18747
ENSMUSG00000099139	45.26	1110028F18Rik
ENSMUSG00000086887	43.34	1700060C16Rik
ENSMUSG00000060811	38.77	Gm10088
ENSMUSG00000097592	50.14	4930500F10Rik
ENSMUSG00000112155	41.39	4930477N07Rik
ENSMUSG00000108119	42.10	Gm43891
ENSMUSG00000106567	39.53	2010309G21Rik
ENSMUSG00000053729	36.05	Spinkl
ENSMUSG00000032854	37.89	Ugt8a
ENSMUSG00000108305	45.56	Gm19078
ENSMUSG00000112199	44.83	Gm19090
ENSMUSG00000105906	49.78	Iglc1
ENSMUSG00000031712	39.37	Il15
ENSMUSG00000050504	38.59	Olfr1323
ENSMUSG00000106668	55.26	Iglj1
ENSMUSG00000097133	50.44	Gm26628
ENSMUSG00000032268	46.57	Tmprss5
ENSMUSG00000044937	44.66	Ttc41
ENSMUSG00000105547	47.35	Iglc3
ENSMUSG00000108356	44.15	9130221F21Rik
ENSMUSG00000084330	48.00	Gm15019
ENSMUSG00000108344	44.19	Gm8952
ENSMUSG00000106405	42.11	Iglj3p
ENSMUSG00000102211	41.85	Gm37490
ENSMUSG00000108355	45.77	Gm44604
ENSMUSG00002074871	40.00	7SK
ENSMUSG00000105231	47.37	Iglj3
ENSMUSG00000087082	41.33	Gm15423
ENSMUSG00000118656	41.38	
ENSMUSG00000073573	33.10	Spink11
ENSMUSG00000083754	50.74	Gm7803
ENSMUSG00000076934	47.73	Iglv1
ENSMUSG00000049694	50.89	BC048671
ENSMUSG00000082660	51.99	Gm14612
ENSMUSG00000090106	53.89	Gm15838
ENSMUSG00000119917	45.79	Gm22288
ENSMUSG00000072969	43.70	Armcx5
ENSMUSG00000103251	48.24	Gm37519
ENSMUSG00000106444	39.14	Gm18748
ENSMUSG00000091844	38.08	Gm8251
ENSMUSG00000106039	51.91	Iglc4
ENSMUSG00000105066	50.00	Iglj4
ENSMUSG00002076235	41.04	7SK
ENSMUSG00000106503	42.20	Gm42827
ENSMUSG00000026483	43.75	Niban1
ENSMUSG00000073572	32.49	Gm10542
ENSMUSG00000076937	44.22	Iglc2
ENSMUSG00000089133	49.64	Gm24771
ENSMUSG00000115314	35.97	Gm48966
ENSMUSG00000041842	47.77	Fhdc1
ENSMUSG00000115144	44.52	Gm7968
ENSMUSG00000038071	36.74	Npy6r
ENSMUSG00000048173	40.91	Olfr1324
ENSMUSG00000104975	50.00	Iglj2
ENSMUSG00000056643	50.63	Chst13
ENSMUSG00000076333	40.91	Mir599
ENSMUSG00000077890	37.18	Mir875
ENSMUSG00000115040	55.74	Gm18994
ENSMUSG00000104927	38.71	Gm43388
ENSMUSG00000115837	42.13	9130002K18Rik
ENSMUSG00000105128	37.32	Gm42870
ENSMUSG00000115340	42.95	Gm48965
ENSMUSG00000117919	38.78	Gm41717
ENSMUSG00000076939	45.25	Iglv3
ENSMUSG00000115793	38.93	Gm48961
ENSMUSG00000024471	38.41	Myot
