	Gene name	Gene % GC content
ENSMUSG00000030897	Cnga4	50.99
ENSMUSG00000030898	Cckbr	43.13
ENSMUSG00000030905	Crym	45.91
ENSMUSG00000030909	Anks4b	42.31
ENSMUSG00000030911	Zp2	43.95
ENSMUSG00000030917	Tmem159	45.73
ENSMUSG00000030921	Trim30a	41.04
ENSMUSG00000030922	Lyrm1	43.02
ENSMUSG00000030924	Rexo5	39.45
ENSMUSG00000030929	Eri2	40.49
ENSMUSG00000030930	Chst15	48.33
ENSMUSG00000030934	Oat	43.76
ENSMUSG00000030935	Acsm3	40.83
ENSMUSG00000030942	Thumpd1	44.67
ENSMUSG00000030945	Acsm2	42.58
ENSMUSG00000030946	Lhpp	50.08
ENSMUSG00000030954	Gp2	43.52
ENSMUSG00000030956	Fam53b	50.1
ENSMUSG00000030960	Eef1akmt2	40.09
ENSMUSG00000030963	Umod	44.97
ENSMUSG00000030965	Abraxas2	43.63
ENSMUSG00000030966	Trim21	46.19
ENSMUSG00000030967	Zranb1	38.4
ENSMUSG00000030968	Pdilt	43.78
ENSMUSG00000030970	Ctbp2	48.16
ENSMUSG00000030972	Acsm5	45.31
ENSMUSG00000030976	Tex36	42.54
ENSMUSG00000030978	Rrm1	41.43
ENSMUSG00000030979	Uros	48.77
ENSMUSG00000030980	Knop1	49.8
ENSMUSG00000030981	Mmp21	50.02
ENSMUSG00000030982	Vps35l	48.14
ENSMUSG00000030983	Bccip	47.74
ENSMUSG00000030986	Dhx32	46.12
ENSMUSG00000030987	Stim1	41.65
ENSMUSG00000030990	Pgap2	45.61
ENSMUSG00000030994	D7Ertd443e	43.53
ENSMUSG00000030996	Art1	51.41
ENSMUSG00000031004	Mki67	43.15
ENSMUSG00000031007	Atp6ap2	43.11
ENSMUSG00000031010	Usp9x	37.19
ENSMUSG00000031012	Cask	38.31
ENSMUSG00000031015	Swap70	44.14
ENSMUSG00000031016	Wee1	42.51
ENSMUSG00000031021	Tmem9b	44.3
ENSMUSG00000031022	BC051019	47.55
ENSMUSG00000031023	Akip1	45.46
ENSMUSG00000031024	Denn2b	44.02
ENSMUSG00000031026	Trim66	47.49
ENSMUSG00000031027	Stk33	40.23
ENSMUSG00000031028	Tub	47.84
ENSMUSG00000031029	Eif3f	48.19
ENSMUSG00000031059	Ndufb11	45.9
ENSMUSG00000031060	Rbm10	46.0
ENSMUSG00000031065	Cdk16	49.33
ENSMUSG00000031066	Usp11	44.13
ENSMUSG00000031068	Glrx3	44.29
ENSMUSG00000031070	Mrgprf	52.67
ENSMUSG00000031072	LTO1	50.19
ENSMUSG00000031073	Fgf15	50.21
ENSMUSG00000031074	Fgf3	56.81
ENSMUSG00000031075	Ano1	49.65
ENSMUSG00000031077	Fadd	51.73
ENSMUSG00000031078	Cttn	51.21
ENSMUSG00000031079	Zfp300	36.39
ENSMUSG00000031085	Acte1	46.56
ENSMUSG00000031089	Slc6a14	34.95
ENSMUSG00000031090	Nadsyn1	50.12
ENSMUSG00000031093	Dock11	39.55
ENSMUSG00000031095	Cul4b	39.71
ENSMUSG00000031097	Tnni2	56.59
ENSMUSG00000031098	Syt8	54.53
ENSMUSG00000031099	Smarca1	37.47
ENSMUSG00000031101	Sash3	48.16
ENSMUSG00000031103	Elf4	48.86
ENSMUSG00000031104	Rab33a	45.07
ENSMUSG00000031105	Slc25a14	39.18
ENSMUSG00000031107	Rbmx2	43.07
ENSMUSG00000031109	Enox2	38.9
ENSMUSG00000031111	Igsf1	45.31
ENSMUSG00000031112	Stk26	38.57
ENSMUSG00000031118	Magea14	48.21
ENSMUSG00000031119	Gpc4	41.28
ENSMUSG00000031125	3830403N18Rik	37.08
ENSMUSG00000031129	Slc9a9	41.87
ENSMUSG00000031130	Brs3	41.18
ENSMUSG00000031131	Vgll1	42.6
ENSMUSG00000031132	Cd40lg	40.79
ENSMUSG00000031133	Arhgef6	40.75
ENSMUSG00000031134	Rbmx	40.96
ENSMUSG00000031137	Fgf13	37.94
ENSMUSG00000031138	F9	39.25
ENSMUSG00000031139	Mcf2	38.98
ENSMUSG00000031142	Cacna1f	48.31
ENSMUSG00000031143	Ccdc22	49.01
ENSMUSG00000031144	Syp	49.11
ENSMUSG00000031145	Prickle3	50.93
ENSMUSG00000031146	Plp2	51.45
ENSMUSG00000031147	Magix	49.51
ENSMUSG00000031148	Gpkow	45.87
ENSMUSG00000031149	Praf2	53.2
ENSMUSG00000031150	Ccdc120	50.06
ENSMUSG00000031153	Gripap1	46.37
ENSMUSG00000031154	Otud5	45.56
ENSMUSG00000031155	Pim2	50.34
ENSMUSG00000031156	Slc35a2	48.21
ENSMUSG00000031157	Pqbp1	46.77
ENSMUSG00000031158	Timm17b	48.43
ENSMUSG00000031160	Eras	49.45
ENSMUSG00000031161	Hdac6	49.26
ENSMUSG00000031162	Gata1	47.55
ENSMUSG00000031163	Glod5	45.46
ENSMUSG00000031165	Was	48.15
ENSMUSG00000031166	Wdr13	49.15
ENSMUSG00000031167	Rbm3	44.21
ENSMUSG00000031168	Ebp	46.42
ENSMUSG00000031169	Porcn	49.1
ENSMUSG00000031170	Slc38a5	49.88
ENSMUSG00000031171	Ftsj1	46.65
ENSMUSG00000031173	Otc	38.89
ENSMUSG00000031174	Rpgr	40.2
ENSMUSG00000031176	Dynlt3	41.33
ENSMUSG00000031179	Magea9	44.18
ENSMUSG00000031181	Ctag2	45.51
ENSMUSG00000031182	4930447F04Rik	34.84
ENSMUSG00000031189	Aff2	37.16
ENSMUSG00000031194	4931400O07Rik	37.96
ENSMUSG00000031196	F8	39.51
ENSMUSG00000031197	Vbp1	36.07
ENSMUSG00000031198	Fundc2	37.05
ENSMUSG00000031200	Mtcp1	38.63
ENSMUSG00000031201	Brcc3	36.18
ENSMUSG00000031202	Rab39b	38.41
ENSMUSG00000031204	Asb12	38.71
ENSMUSG00000031207	Msn	41.25
ENSMUSG00000031209	Heph	37.53
ENSMUSG00000031210	Gpr165	41.88
ENSMUSG00000031212	Pgr15l	39.57
ENSMUSG00000031214	Ophn1	39.46
ENSMUSG00000031216	Stard8	47.51
ENSMUSG00000031217	Efnb1	54.71
ENSMUSG00000031220	Awat2	42.91
ENSMUSG00000031221	Igbp1	41.43
ENSMUSG00000031224	Magee2	47.8
ENSMUSG00000031226	Pbdc1	39.47
ENSMUSG00000031227	Magee1	53.07
ENSMUSG00000031229	Atrx	38.38
ENSMUSG00000031230	Fgf16	48.47
ENSMUSG00000031231	Cox7b	39.45
ENSMUSG00000031232	Magt1	41.34
ENSMUSG00000031233	Pgk2	44.71
ENSMUSG00000031239	Itm2a	36.33
ENSMUSG00000031241	Tbx22	36.31
ENSMUSG00000031242	2610002M06Rik	37.59
ENSMUSG00000031245	Hmgn5	38.85
ENSMUSG00000031246	Sh3bgrl	37.5
ENSMUSG00000031250	Tnmd	41.23
ENSMUSG00000031253	Srpx2	42.68
ENSMUSG00000031255	Sytl4	40.53
ENSMUSG00000031256	Cstf2	40.02
ENSMUSG00000031257	Nox1	41.49
ENSMUSG00000031258	Xkrx	41.28
ENSMUSG00000031262	Cenpi	40.02
ENSMUSG00000031264	Btk	42.99
ENSMUSG00000031266	Gla	42.58
ENSMUSG00000031270	4930513O06Rik	38.59
ENSMUSG00000031271	Serpina7	37.47
ENSMUSG00000031273	Col4a6	39.68
ENSMUSG00000031274	Col4a5	36.99
ENSMUSG00000031278	Acsl4	38.88
ENSMUSG00000031283	Chrdl1	39.08
ENSMUSG00000031284	Pak3	38.71
ENSMUSG00000031285	Dcx	39.17
ENSMUSG00000031286	Glt28d2	42.55
ENSMUSG00000031289	Il13ra2	35.75
ENSMUSG00000031290	Lrch2	36.83
ENSMUSG00000031292	Cdkl5	39.56
ENSMUSG00000031293	Rs1	43.14
ENSMUSG00000031294	D630029K05Rik	43.69
ENSMUSG00000031295	Phka2	41.79
ENSMUSG00000031297	Slc7a3	47.19
ENSMUSG00000031298	Adgrg2	39.57
ENSMUSG00000031299	Pdha1	44.84
ENSMUSG00000031302	Nlgn3	49.42
ENSMUSG00000031303	Map3k15	39.81
ENSMUSG00000031304	Il2rg	48.14
ENSMUSG00000031309	Rps6ka3	38.19
ENSMUSG00000031310	Zmym3	51.03
ENSMUSG00000031311	Nono	43.03
ENSMUSG00000031312	Itgb1bp2	45.98
ENSMUSG00000031314	Taf1	39.72
ENSMUSG00000031320	Rps4x	45.51
ENSMUSG00000031323	Dmrtc1a	43.64
ENSMUSG00000031325	4930519F16Rik	40.83
ENSMUSG00000031326	Cdx4	41.83
ENSMUSG00000031327	Chic1	38.53
ENSMUSG00000031328	Flna	51.23
ENSMUSG00000031329	Tsx	41.93
ENSMUSG00000031330	Zcchc13	46.45
ENSMUSG00000031333	Abcb7	37.64
ENSMUSG00000031337	Mtm1	40.61
ENSMUSG00000031340	Gabre	44.23
ENSMUSG00000031342	Gpm6b	41.79
ENSMUSG00000031343	Gabra3	37.94
ENSMUSG00000031344	Gabrq	42.88
ENSMUSG00000031347	Cetn2	39.49
ENSMUSG00000031349	Nsdhl	43.13
ENSMUSG00000031351	Zfp185	45.5
ENSMUSG00000031352	Hccs	40.0
ENSMUSG00000031353	Rbbp7	40.14
ENSMUSG00000031354	Amelx	35.73
ENSMUSG00000031355	Arhgap6	38.26
ENSMUSG00000031357	Syap1	42.57
ENSMUSG00000031358	Msl3	42.17
ENSMUSG00000031360	Ctps2	42.77
ENSMUSG00000031362	Xlr4c	41.64
ENSMUSG00000031364	Grpr	39.81
ENSMUSG00000031365	Zfp275	43.51
ENSMUSG00000031367	Ap1s2	36.06
ENSMUSG00000031370	Zrsr2	41.75
ENSMUSG00000031371	Haus7	44.64
ENSMUSG00000031372	Trex2	54.27
ENSMUSG00000031373	Car5b	42.38
ENSMUSG00000031374	Zfp92	45.47
ENSMUSG00000031375	Bgn	50.34
ENSMUSG00000031376	Atp2b3	48.02
ENSMUSG00000031377	Bmx	40.56
ENSMUSG00000031378	Abcd1	46.51
ENSMUSG00000031379	Pir	40.39
ENSMUSG00000031380	Vegfd	41.39
ENSMUSG00000031381	Piga	41.8
ENSMUSG00000031382	Asb11	41.71
ENSMUSG00000031383	Dusp9	56.93
ENSMUSG00000031384	Asb9	41.94
ENSMUSG00000031385	Plxnb3	53.03
ENSMUSG00000031386	Hcfc1	48.98
ENSMUSG00000031387	Renbp	47.5
ENSMUSG00000031388	Naa10	50.43
ENSMUSG00000031389	Arhgap4	49.09
ENSMUSG00000031390	Avpr2	53.98
ENSMUSG00000031391	L1cam	48.5
ENSMUSG00000031392	Irak1	50.6
ENSMUSG00000031393	Mecp2	41.36
ENSMUSG00000031394	Opn1mw	41.29
ENSMUSG00000031397	Tktl1	41.6
ENSMUSG00000031398	Plxna3	52.71
ENSMUSG00000031399	Fam3a	46.19
ENSMUSG00000031400	G6pdx	44.93
ENSMUSG00000031402	Mpp1	39.57
ENSMUSG00000031403	Dkc1	41.89
ENSMUSG00000031409	Tceal6	55.42
ENSMUSG00000031410	Nxf7	45.14
ENSMUSG00000031411	Pramex1	37.91
ENSMUSG00000031422	Morf4l2	41.14
ENSMUSG00000031424	Kir3dl1	40.3
ENSMUSG00000031425	Plp1	42.06
ENSMUSG00000031428	Zcchc18	46.35
ENSMUSG00000031429	Psmd10	39.55
ENSMUSG00000031430	Vsig1	39.02
ENSMUSG00000031431	Tsc22d3	43.57
ENSMUSG00000031432	Prps1	40.89
ENSMUSG00000031433	Rbm41	38.82
ENSMUSG00000031434	Morc4	39.88
ENSMUSG00000031438	Rnf128	38.91
ENSMUSG00000031441	Atp11a	49.44
ENSMUSG00000031442	Mcf2l	51.79
ENSMUSG00000031443	F7	51.41
ENSMUSG00000031444	F10	47.83
ENSMUSG00000031445	Proz	50.08
ENSMUSG00000031446	Cul4a	47.27
ENSMUSG00000031447	Lamp1	47.01
ENSMUSG00000031448	Adprhl1	51.44
ENSMUSG00000031449	Atp4b	51.52
ENSMUSG00000031450	Grk1	50.07
ENSMUSG00000031451	Gas6	51.33
ENSMUSG00000031452	1700029H14Rik	50.75
ENSMUSG00000031453	Rasa3	49.81
ENSMUSG00000031458	Coprs	50.07
ENSMUSG00000031461	Myom2	45.83
ENSMUSG00000031465	Angpt2	45.89
ENSMUSG00000031467	Agpat5	41.92
ENSMUSG00000031471	Defb8	41.4
ENSMUSG00000031478	Nek3	43.29
ENSMUSG00000031479	Vps36	43.42
ENSMUSG00000031480	Thsd1	43.49
ENSMUSG00000031481	Tpte	40.51
ENSMUSG00000031482	Slc25a15	46.32
ENSMUSG00000031483	Erlin2	47.02
ENSMUSG00000031485	Plpbp	46.91
ENSMUSG00000031486	Adgra2	51.85
ENSMUSG00000031487	Brf2	48.24
ENSMUSG00000031488	Rab11fip1	47.54
ENSMUSG00000031489	Adrb3	46.51
ENSMUSG00000031490	Eif4ebp1	48.42
ENSMUSG00000031491	Chrna6	45.9
ENSMUSG00000031492	Chrnb3	43.38
ENSMUSG00000031493	Ggn	60.1
ENSMUSG00000031494	Cd209a	44.51
ENSMUSG00000031495	Cd209d	44.96
ENSMUSG00000031497	Tnfsf13b	41.61
ENSMUSG00000031502	Col4a1	47.76
ENSMUSG00000031503	Col4a2	49.43
ENSMUSG00000031504	Rab20	48.92
ENSMUSG00000031505	Naxd	51.02
ENSMUSG00000031506	Ptpn7	49.9
ENSMUSG00000031508	Ankrd10	44.27
ENSMUSG00000031509	1700016D06Rik	46.81
ENSMUSG00000031510	1700128E19Rik	48.17
ENSMUSG00000031511	Arhgef7	48.91
ENSMUSG00000031512	Tex29	47.25
ENSMUSG00000031513	Leprotl1	46.47
ENSMUSG00000031516	Dctn6	47.15
ENSMUSG00000031517	Gpm6a	35.18
ENSMUSG00000031518	Spata4	38.75
ENSMUSG00000031519	Asb5	38.02
ENSMUSG00000031520	Vegfc	37.22
ENSMUSG00000031521	Aga	41.72
ENSMUSG00000031523	Dlc1	41.01
ENSMUSG00000031527	Eri1	41.54
ENSMUSG00000031529	Tnks	41.06
ENSMUSG00000031530	Dusp4	51.87
ENSMUSG00000031532	Saraf	44.51
ENSMUSG00000031533	Mrps31	44.26
ENSMUSG00000031534	Smim19	44.42
ENSMUSG00000031535	Dkk4	45.62
ENSMUSG00000031536	Polb	42.6
ENSMUSG00000031537	Ikbkb	47.5
ENSMUSG00000031538	Plat	47.08
ENSMUSG00000031539	Ap3m2	47.24
ENSMUSG00000031540	Kat6a	41.5
ENSMUSG00000031543	Ank1	48.97
ENSMUSG00000031545	Gpat4	45.71
ENSMUSG00000031546	Gins4	47.19
ENSMUSG00000031548	Sfrp1	47.76
ENSMUSG00000031549	Ido2	45.72
ENSMUSG00000031551	Ido1	43.76
ENSMUSG00000031552	Adam18	41.18
ENSMUSG00000031553	Adam3	41.69
ENSMUSG00000031554	Adam5	41.16
ENSMUSG00000031555	Adam9	42.78
ENSMUSG00000031556	Tm2d2	46.66
ENSMUSG00000031557	Plekha2	46.92
ENSMUSG00000031558	Slit2	37.32
ENSMUSG00000031559	4930555F03Rik	37.95
ENSMUSG00000031561	Tenm3	42.03
ENSMUSG00000031562	Dctd	45.77
ENSMUSG00000031563	Wwc2	46.23
ENSMUSG00000031565	Fgfr1	49.44
ENSMUSG00000031568	Rwdd4a	43.45
ENSMUSG00000031570	Plpp5	48.98
ENSMUSG00000031574	Star	47.52
ENSMUSG00000031575	Ash2l	45.49
ENSMUSG00000031576	Kcnu1	43.89
ENSMUSG00000031577	Tti2	44.01
ENSMUSG00000031578	Mak16	43.5
ENSMUSG00000031583	Wrn	39.69
ENSMUSG00000031584	Gsr	45.79
ENSMUSG00000031585	Gtf2e2	40.61
ENSMUSG00000031586	Rbpms	46.57
ENSMUSG00000031590	Frg1	40.22
ENSMUSG00000031591	Asah1	42.36
ENSMUSG00000031592	Pcm1	37.18
ENSMUSG00000031594	Fgl1	39.77
ENSMUSG00000031595	Pdgfrl	43.65
ENSMUSG00000031596	Slc7a2	42.37
ENSMUSG00000031600	Vps37a	39.16
ENSMUSG00000031601	Cnot7	38.82
ENSMUSG00000031603	Fgf20	40.4
ENSMUSG00000031604	Msmo1	42.77
ENSMUSG00000031605	Klhl2	43.91
ENSMUSG00000031608	Galnt7	43.56
ENSMUSG00000031609	Sap30	41.19
ENSMUSG00000031610	Scrg1	40.83
ENSMUSG00000031613	Hpgd	36.92
ENSMUSG00000031616	Ednra	43.62
ENSMUSG00000031617	Tmem184c	41.52
ENSMUSG00000031618	Nr3c2	41.62
ENSMUSG00000031620	Iqcm	38.36
ENSMUSG00000031621	Isx	44.18
ENSMUSG00000031622	Sin3b	50.08
ENSMUSG00000031626	Sorbs2	40.52
ENSMUSG00000031627	Irf2	44.21
ENSMUSG00000031628	Casp3	43.26
ENSMUSG00000031629	Cenpu	45.74
ENSMUSG00000031631	Cfap97	41.94
ENSMUSG00000031633	Slc25a4	49.84
ENSMUSG00000031634	Ufsp2	39.64
ENSMUSG00000031635	Anxa10	36.69
ENSMUSG00000031636	Pdlim3	42.12
ENSMUSG00000031637	Lrp2bp	42.14
ENSMUSG00000031639	Tlr3	39.44
ENSMUSG00000031640	Gm45753	40.86
ENSMUSG00000031641	Cbr4	42.22
ENSMUSG00000031642	Sh3rf1	44.52
ENSMUSG00000031644	Nek1	39.06
ENSMUSG00000031645	F11	40.96
ENSMUSG00000031647	Mfap3l	42.5
ENSMUSG00000031651	Triml1	42.1
ENSMUSG00000031652	N4bp1	46.49
ENSMUSG00000031654	Cbln1	56.48
ENSMUSG00000031657	Heatr3	42.69
ENSMUSG00000031659	Adcy7	51.93
ENSMUSG00000031660	Brd7	42.24
ENSMUSG00000031661	Nkd1	51.89
ENSMUSG00000031662	Snx20	51.4
ENSMUSG00000031665	Sall1	48.85
ENSMUSG00000031666	Rbl2	42.56
ENSMUSG00000031667	Aktip	46.76
ENSMUSG00000031668	Eif2ak3	44.04
ENSMUSG00000031669	Gins3	43.49
ENSMUSG00000031671	Setd6	51.92
ENSMUSG00000031672	Got2	46.09
ENSMUSG00000031673	Cdh11	39.48
ENSMUSG00000031681	Smad1	45.94
ENSMUSG00000031682	1700011L22Rik	42.63
ENSMUSG00000031683	Lsm6	44.78
ENSMUSG00000031684	Slc10a7	43.95
ENSMUSG00000031688	Pou4f2	50.47
ENSMUSG00000031691	Tnpo2	50.17
ENSMUSG00000031696	Vps35	38.31
ENSMUSG00000031697	Orc6	41.37
ENSMUSG00000031698	Mylk3	43.69
ENSMUSG00000031700	Gpt2	48.52
ENSMUSG00000031701	Dnaja2	40.89
ENSMUSG00000031703	Itfg1	38.5
ENSMUSG00000031706	Rfx1	53.77
ENSMUSG00000031708	Tecr	50.02
ENSMUSG00000031709	Tbc1d9	44.9
ENSMUSG00000031710	Ucp1	43.07
ENSMUSG00000031711	Zfp330	41.74
ENSMUSG00000031712	Il15	39.37
ENSMUSG00000031714	Gab1	44.85
ENSMUSG00000031715	Smarca5	37.47
ENSMUSG00000031722	Hp	51.25
ENSMUSG00000031723	Txnl4b	46.81
ENSMUSG00000031725	Ces1f	42.04
ENSMUSG00000031727	Pmfbp1	46.13
ENSMUSG00000031728	Zfp821	45.61
ENSMUSG00000031729	Ist1	44.76
ENSMUSG00000031730	Dhodh	48.91
ENSMUSG00000031731	Ap1g1	40.17
ENSMUSG00000031732	Phlpp2	42.95
ENSMUSG00000031734	Irx3	60.91
ENSMUSG00000031736	Crnde	43.26
ENSMUSG00000031737	Irx5	50.91
ENSMUSG00000031738	Irx6	53.41
ENSMUSG00000031740	Mmp2	48.5
ENSMUSG00000031748	Gnao1	48.74
ENSMUSG00000031749	St3gal2	48.43
ENSMUSG00000031750	Il34	48.15
ENSMUSG00000031751	Amfr	44.53
ENSMUSG00000031753	Cog4	44.25
ENSMUSG00000031754	Nudt21	42.33
ENSMUSG00000031755	Bbs2	44.77
ENSMUSG00000031756	Cenpn	48.07
ENSMUSG00000031757	Mt4	50.63
ENSMUSG00000031758	Cdyl2	45.42
ENSMUSG00000031760	Mt3	56.3
ENSMUSG00000031762	Mt2	55.69
ENSMUSG00000031765	Mt1	54.25
ENSMUSG00000031766	Slc12a3	51.35
ENSMUSG00000031767	Nudt7	43.61
ENSMUSG00000031770	Herpud1	46.98
ENSMUSG00000031772	Cntnap4	40.18
ENSMUSG00000031774	Psme3ip1	44.55
ENSMUSG00000031775	Pllp	50.41
ENSMUSG00000031776	Arl2bp	48.01
ENSMUSG00000031778	Cx3cl1	52.68
ENSMUSG00000031779	Ccl22	50.05
ENSMUSG00000031780	Ccl17	50.69
ENSMUSG00000031781	Ciapin1	47.22
ENSMUSG00000031782	Coq9	47.05
ENSMUSG00000031783	Polr2c	53.48
ENSMUSG00000031785	Adgrg1	53.56
ENSMUSG00000031786	Drc7	49.79
ENSMUSG00000031787	Katnb1	53.78
ENSMUSG00000031788	Kifc3	49.4
ENSMUSG00000031789	Cngb1	49.18
ENSMUSG00000031790	Mmp15	53.19
ENSMUSG00000031791	Tmem38a	49.49
ENSMUSG00000031792	Usb1	48.31
ENSMUSG00000031796	Cfap20	46.58
ENSMUSG00000031799	Tpm4	47.28
ENSMUSG00000031802	Phxr4	44.72
ENSMUSG00000031803	B3gnt3	50.68
ENSMUSG00000031805	Jak3	56.86
ENSMUSG00000031807	Pgls	55.48
ENSMUSG00000031808	Slc27a1	52.74
ENSMUSG00000031809	1700018B08Rik	51.3
ENSMUSG00000031812	Map1lc3b	53.05
ENSMUSG00000031813	Mvb12a	54.82
ENSMUSG00000031816	Mthfsd	53.9
ENSMUSG00000031818	Cox4i1	52.49
ENSMUSG00000031819	Emc8	51.43
ENSMUSG00000031820	Babam1	51.31
ENSMUSG00000031821	Gins2	52.33
ENSMUSG00000031822	Gse1	54.52
ENSMUSG00000031823	Zdhhc7	53.02
ENSMUSG00000031824	6430548M08Rik	51.04
ENSMUSG00000031825	Crispld2	50.98
ENSMUSG00000031826	Usp10	49.0
ENSMUSG00000031827	Cotl1	52.05
ENSMUSG00000031828	Klhl36	50.35
ENSMUSG00000031831	Dnaaf1	50.51
ENSMUSG00000031832	Taf1c	57.34
ENSMUSG00000031833	Mast3	55.48
ENSMUSG00000031834	Pik3r2	59.17
ENSMUSG00000031835	Mbtps1	47.86
ENSMUSG00000031837	Necab2	53.56
ENSMUSG00000031838	Ifi30	53.41
ENSMUSG00000031839	Hsbp1	49.72
ENSMUSG00000031840	Rab3a	56.43
ENSMUSG00000031841	Cdh13	45.87
ENSMUSG00000031842	Pde4c	50.9
ENSMUSG00000031843	Mphosph6	48.7
ENSMUSG00000031844	Hsd17b2	46.29
ENSMUSG00000031845	Bco1	47.93
ENSMUSG00000031847	1700030J22Rik	49.4
ENSMUSG00000031848	Lsm4	54.15
ENSMUSG00000031849	Comp	56.43
ENSMUSG00000031851	Ntpcr	49.61
ENSMUSG00000031853	Map3k21	48.03
ENSMUSG00000031858	Mau2	48.41
ENSMUSG00000031860	Pbx4	48.95
ENSMUSG00000031861	Lpar2	51.03
ENSMUSG00000031862	Atp13a1	52.69
ENSMUSG00000031864	Ints10	43.0
ENSMUSG00000031865	Dctn1	51.74
ENSMUSG00000031870	Pgr	39.55
ENSMUSG00000031871	Cdh5	47.26
ENSMUSG00000031872	Bean1	47.52
ENSMUSG00000031875	Cmtm3	53.49
ENSMUSG00000031876	Gm45711	43.39
ENSMUSG00000031877	Ces2g	45.58
ENSMUSG00000031878	Nae1	40.11
ENSMUSG00000031879	Ciao2b	54.14
ENSMUSG00000031880	Rrad	54.08
ENSMUSG00000031881	Cdh16	49.88
ENSMUSG00000031883	Car7	49.94
ENSMUSG00000031884	Ces2d-ps	45.97
ENSMUSG00000031885	Cbfb	40.23
ENSMUSG00000031886	Ces2e	44.62
ENSMUSG00000031887	Tradd	52.39
ENSMUSG00000031889	Phaf1	45.19
ENSMUSG00000031891	Hsd11b2	54.81
ENSMUSG00000031893	Tsnaxip1	46.56
ENSMUSG00000031896	Ctrl	54.3
ENSMUSG00000031897	Psmb10	54.76
ENSMUSG00000031898	Dpep3	51.26
ENSMUSG00000031901	Dus2	45.94
ENSMUSG00000031902	Nfatc3	40.27
ENSMUSG00000031903	Pla2g15	48.78
ENSMUSG00000031904	Slc7a6	44.51
ENSMUSG00000031906	Smpd3	47.6
ENSMUSG00000031907	Zfp90	45.81
ENSMUSG00000031910	Has3	50.57
ENSMUSG00000031913	Vps4a	48.38
ENSMUSG00000031916	Cog8	48.93
ENSMUSG00000031917	Nip7	46.98
ENSMUSG00000031918	Mtmr2	40.77
ENSMUSG00000031919	Tmed6	45.93
ENSMUSG00000031921	Terf2	47.51
ENSMUSG00000031922	Cep57	40.26
ENSMUSG00000031924	Cyb5b	42.83
ENSMUSG00000031925	Maml2	43.18
ENSMUSG00000031927	1700012B09Rik	46.07
ENSMUSG00000031928	Mre11a	43.27
ENSMUSG00000031930	Wwp2	46.86
ENSMUSG00000031931	Ankrd49	40.18
ENSMUSG00000031932	Gpr83	49.45
ENSMUSG00000031933	Izumo1r	48.15
ENSMUSG00000031934	Panx1	48.47
ENSMUSG00000031935	Med17	45.0
ENSMUSG00000031936	Hephl1	44.18
ENSMUSG00000031937	Vstm5	48.02
ENSMUSG00000031938	4931406C07Rik	42.64
ENSMUSG00000031939	Taf1d	40.5
ENSMUSG00000031948	Kars	46.69
ENSMUSG00000031949	Adat1	46.8
ENSMUSG00000031950	Gabarapl2	46.68
ENSMUSG00000031951	Tmem231	46.03
ENSMUSG00000031952	Chst5	47.39
ENSMUSG00000031953	Tmem170	44.92
ENSMUSG00000031954	Cfdp1	44.73
ENSMUSG00000031955	Bcar1	52.83
ENSMUSG00000031957	Ctrb1	51.45
ENSMUSG00000031958	Ldhd	55.01
ENSMUSG00000031959	Wdr59	45.69
ENSMUSG00000031960	Aars	48.51
ENSMUSG00000031962	Cdh15	54.36
ENSMUSG00000031963	Bmper	41.63
ENSMUSG00000031965	Tbx20	40.1
ENSMUSG00000031966	Glb1l3	40.57
ENSMUSG00000031967	Afg3l1	48.57
ENSMUSG00000031969	Acad8	42.48
ENSMUSG00000031970	Dbndd1	53.01
ENSMUSG00000031971	Ccsap	48.3
ENSMUSG00000031972	Acta1	56.75
ENSMUSG00000031974	Abcb10	49.23
ENSMUSG00000031976	Urb2	44.44
ENSMUSG00000031979	Cog2	49.57
ENSMUSG00000031980	Agt	52.25
ENSMUSG00000031981	Capn9	47.37
ENSMUSG00000031982	Arv1	48.09
ENSMUSG00000031983	2310022B05Rik	50.92
ENSMUSG00000031984	2810004N23Rik	46.24
ENSMUSG00000031985	Gnpat	48.32
ENSMUSG00000031986	Sprtn	48.53
ENSMUSG00000031987	Egln1	49.87
ENSMUSG00000031988	Vps26b	45.89
ENSMUSG00000031990	Jam3	44.83
ENSMUSG00000031991	Spata19	47.93
ENSMUSG00000031993	Snx19	44.46
ENSMUSG00000031994	Adamts8	49.55
ENSMUSG00000031995	St14	49.18
ENSMUSG00000031996	Aplp2	43.13
ENSMUSG00000031997	Trpc6	39.32
ENSMUSG00000031998	1700128F08Rik	41.4
ENSMUSG00000032000	Birc3	44.81
ENSMUSG00000032002	Dcun1d5	37.47
ENSMUSG00000032006	Pdgfd	38.83
ENSMUSG00000032009	Sesn3	41.3
ENSMUSG00000032010	Usp2	52.31
ENSMUSG00000032011	Thy1	53.87
ENSMUSG00000032012	Nectin1	52.01
ENSMUSG00000032013	Trim29	53.22
ENSMUSG00000032014	Oaf	52.32
ENSMUSG00000032015	Pou2f3	48.1
ENSMUSG00000032017	Grik4	48.03
ENSMUSG00000032018	Sc5d	44.68
ENSMUSG00000032020	Ubash3b	46.87
ENSMUSG00000032021	Crtam	44.15
ENSMUSG00000032023	Jhy	43.4
ENSMUSG00000032024	Clmp	45.72
ENSMUSG00000032026	Rexo2	45.95
ENSMUSG00000032028	Nxpe2	41.28
ENSMUSG00000032030	Cul5	40.08
